Spanish,English
como,as
que,that
era,was
para,for
son,are
con,with
ellos,they
ser,be
uno,one
tener,have
este,this
desde,from
por,by
caliente,hot
palabra,word
pero,but
qué,that
algunos,some
usted,you
tenido,had
nos,us
lata,can
fuera,out
otros,others
eran,were
hacer,do
tiempo,time
lo hará,it will
cómo,as
dicho,saying
cada,each
decir,say
hace,does
conjunto,set
tres,three
querer,want
aire,air
también,also
jugar,play
pequeño,little
fin,end
poner,put
casa,home
leer,read
mano,hand
puerto,port
grande,big
deletrear,spell
añadir,add
incluso,even
tierra,land
aquí,here
debe,has to
alto,high
tal,such
siga,follow
acto,act
por qué,because
preguntar,ask
hombre,man
cambio,change
se fue,he left
luz,light
necesitar,need
imagen,image
tratar,treat
nosotros,us
de nuevo,again
animal,animal
punto,spot
madre,mother
mundo,world
cerca,near
construir,build
auto,car
padre,father
mujer,woman
estrella,star
muerto,dead
amor,love
casar,marry
viaje,trip
extranjero,foreign
comida,food
pollo,chicken
maravilla,miracle
río,river
fiesta,festival
ojo,eye
perro,dog
gato,cat
isla,island
bajo,short
casi,almost
