Spanish,English
que,that
era,was
para,for
son,are
con,with
ellos,they
ser,be
uno,one
tener,have
este,this
desde,from
por,by
caliente,hot
qué,that
algunos,some
usted,you
tenido,had
nos,us
lata,can
fuera,out
otros,others
eran,were
tiempo,time
lo hará,it will
cómo,as
dicho,saying
cada,each
decir,say
hace,does
conjunto,set
querer,want
aire,air
también,also
jugar,play
pequeño,little
fin,end
leer,read
mano,hand
grande,big
deletrear,spell
añadir,add
incluso,even
tierra,land
aquí,here
debe,has to
tal,such
siga,follow
acto,act
por qué,because
preguntar,ask
se fue,he left
luz,light
necesitar,need
imagen,image
tratar,treat
nosotros,us
de nuevo,again
punto,spot
madre,mother
cerca,near
auto,car
padre,father
estrella,star
muerto,dead
amor,love
casar,marry
viaje,trip
extranjero,foreign
pollo,chicken
maravilla,miracle
río,river
perro,dog
gato,cat
isla,island
bajo,short
casi,almost
